Cocunut,AGE,YEARS_WITH_BANK,MARTIAL_STATUS,EDUCATION,EMPLOYMENT,GENDER,CUST_INCOME,CURRENT_ADDRESS_DATE,CURRENT_JOB_DATE,CURRENT_WITH_BANK_DATE,CURRENT_BALANCE_EUR
80001,32,3,M,HGH,PVE,M,"423,0769231",21/01/1985,01/01/2005,02/07/2014,143
80002,51,10,W,SEC,RET,F,"140,6102308",23/10/2010,01/10/9999,21/02/2007,"2288,700154"
80003,36,7,M,BCR,STE,F,"326,9230769",16/10/1981,10/09/2009,26/10/2009,"2268,491692"
80004,46,11,D,BCR,TEA,F,"738,82",01/09/2008,01/11/2005,30/11/2005,"4536,983462"
80005,39,10,M,HGH,PVE,M,"483,9282308",01/09/1993,01/06/2013,05/12/2006,"3076,923077"
80006,64,9,M,BCR,RET,F,"274,5153846",01/06/1983,03/09/1993,16/06/2008,"153,7692308"
80007,64,8,W,HGH,RET,F,"237,634",01/10/1978,01/10/9999,10/06/2009,"2307,692308"
80008,74,11,M,HGH,RET,M,"221,0430769",20/10/1996,01/10/9999,26/05/2006,"790,3846154"
80009,26,4,S,HGH,PVE,M,"248,6461538",02/10/2009,24/01/2012,29/11/2012,"4615,384615"
80010,42,13,M,BCR,PVE,F,"228,0769231",29/08/1975,16/11/2012,29/06/2004,"4820,321462"
80011,47,7,M,BCR,TEA,F,"446,4693077",01/01/1993,01/08/2000,27/10/2009,"4615,384615"
80012,62,0,M,HGH,RET,F,"256,9230769",25/05/1992,03/12/2001,15/09/2016,"213,8438462"
80013,26,0,S,HGH,PVE,M,"214,5135385",01/01/2010,18/11/2015,14/09/2016,"4577,400385"
80014,65,2,M,HGH,RET,M,"504,0544615",01/01/2003,01/10/9999,17/12/2014,"5771,358923"
80015,56,13,M,BCR,STE,F,"299,3230769",31/01/1982,01/02/1995,05/07/2004,"2288,700154"
80016,56,12,M,HGH,STE,M,"424,9076923",01/01/1965,09/12/1981,03/06/2005,"783,5486154"
80017,48,5,M,HGH,PVE,F,"195,4307692",01/08/2008,01/12/2015,17/10/2011,"807,3685385"
80018,32,11,S,HGH,PVE,M,"269,7172308",20/08/1985,15/09/2005,11/10/2005,"1646,607538"
80019,65,12,M,BCR,RET,F,"387,9672308",01/01/1996,01/10/9999,23/02/2005,"2405,833385"
80020,73,0,W,HGH,RET,F,"192,9054615",01/01/2013,01/10/9999,05/10/2016,"517,7019231"
80021,39,2,M,HGH,PVE,F,"197,6569231",01/07/1997,01/08/2014,07/08/2014,"364,4485385"
80022,30,8,M,BCR,PVE,M,"275,6432308",06/04/1990,19/07/2010,12/08/2008,"7629,000615"
80023,35,0,S,MAS,TEA,M,"615,3882308",07/03/1982,01/02/2013,22/09/2016,"7629,000615"
80024,46,1,M,HGH,PVE,M,"198,9153846",01/06/1992,19/03/2015,24/12/2015,"2268,491692"
80025,37,11,M,HGH,PVE,M,"687,2178462",15/03/2013,15/01/2009,13/10/2005,"2286,101154"
80026,68,5,M,BCR,RET,F,"247,9923077",05/07/2005,01/10/9999,30/08/2011,"3951,923077"
80027,46,11,M,HGH,STE,F,"302,8073077",01/06/2004,17/08/1992,19/01/2006,"2307,692308"
80028,61,13,M,HGH,PVE,M,"451,2340769",01/01/1982,01/04/1996,04/03/2004,"1423,507769"
80029,46,15,M,BCR,STE,F,"602,3863846",01/01/2010,01/08/1996,01/06/2002,"7629,000615"
80030,26,2,S,BCR,STE,M,"363,1733077",25/06/2015,01/01/2014,26/06/2015,"293,138"
80031,66,14,W,BCR,RET,F,"247,4984615",06/03/1995,01/10/9999,16/08/2002,"3410,509615"
80032,61,12,W,PRS,RET,F,"159,1984615",01/01/2002,01/10/9999,17/02/2005,"2401,401385"
80033,53,13,M,HGH,PVE,M,"373,6153846",04/04/1969,18/06/2007,08/06/2004,"356,4973077"
80034,44,0,D,HGH,STE,F,"198,2461538",01/07/2006,01/06/2014,28/09/2016,"2307,692308"
80035,53,12,M,BCR,RET,F,"249,8246154",01/01/1995,01/10/9999,24/06/2005,"5562,720615"
80036,45,12,M,HGH,STE,M,"463,7756154",26/09/1986,26/09/1995,27/06/2005,"2268,491692"
80037,47,11,M,HGH,STE,M,"383,1384615",18/03/1970,01/09/1999,15/09/2005,9000
80038,46,11,D,HGH,STE,F,"361,5615385",01/01/2003,17/10/2005,01/02/2006,"2268,491692"
80039,42,13,M,HGH,PVE,M,"247,9230769",01/01/1986,01/02/2003,04/09/2003,"6259,451462"
