Cocunut,Mortgage_YN,AGE_AT_ORIGINATION,AGE,YEARS_WITH_BANK,MARTIAL_STATUS,EDUCATION,EMPLOYMENT,GENDER,CUST_INCOME,CURRENT_ADDRESS_DATE,CURRENT_JOB_DATE,CURRENT_WITH_BANK_DATE,CURRENT_BALANCE_EUR
1,Y,50.0,52,13,M,HGH,PVE,M,"909,5013077",18/04/1979,01/01/2010,16/03/2004,"7648,350692"
9,Y,48.0,49,11,M,HGH,SFE,M,"288,4615385",16/12/1999,20/01/2004,07/11/2005,"30189,90492"
11,Y,53.0,55,14,M,BCR,STE,M,"1280,528692",28/06/2005,01/09/1990,25/06/2003,"50553,17454"
12,Y,64.0,66,10,M,BCR,OTH,F,"620,9597692",22/12/2000,01/10/9999,21/12/2006,"15907,28338"
18,Y,46.0,47,9,S,MAS,PVE,F,"2239,853846",01/08/2009,24/12/2013,07/08/2007,"27916,19262"
19,Y,34.0,35,10,*noval*,BCR,STE,F,"1016,004308",01/10/9999,01/08/2006,02/08/2006,"26571,472"
21,Y,51.0,53,10,M,HGH,STE,F,"458,6092308",31/12/1992,13/12/1984,27/10/2006,"21949,504"
24,Y,56.0,58,10,M,HGH,PVE,F,"615,3846154",31/03/1998,20/09/2005,27/06/2007,"50387,55885"
29,Y,46.0,47,14,M,BCR,PVE,M,"744,0076154",01/09/2007,08/04/2010,16/11/2002,"8731,948923"
33,Y,45.0,46,12,M,HGH,PVE,M,"473,818",27/11/2007,01/10/1991,24/11/2004,"16084,14246"
34,Y,38.0,40,9,S,HGH,PVE,F,"538,6294615",17/10/2007,12/06/2006,29/01/2008,"13118,73962"
35,Y,48.0,50,11,M,HGH,STE,M,"402,4476923",01/09/1997,01/07/1992,28/04/2006,"28063,85915"
37,Y,56.0,57,14,D,HGH,PVE,F,"626,3546923",30/05/2005,18/11/2002,27/11/2002,"6084,600692"
43,Y,36.0,39,12,M,BCR,PVE,M,"932,7886923",01/09/2009,01/08/2004,19/08/2004,"55190,07408"
45,Y,39.0,41,11,M,BCR,PVE,F,"872,7253846",20/06/2009,01/08/2005,01/08/2005,"29008,47846"
47,Y,42.0,43,12,M,BCR,PVE,M,"7504,292308",01/02/1999,27/06/2008,25/02/2005,"35649,95146"
52,Y,50.0,51,13,*noval*,BCR,PVE,M,"808,4407692",01/10/9999,01/09/2009,21/04/2004,"133846,7488"
55,Y,42.0,43,11,S,BCR,STE,F,"630,0923077",01/12/2011,01/07/2005,29/03/2006,"29114,93785"
61,Y,50.0,52,13,M,HGH,PVE,M,"1613,830769",14/09/2013,27/10/2003,13/01/2004,"70111,68331"
63,Y,36.0,37,12,D,BCR,PVE,M,"1269,230769",01/01/1985,25/11/2013,02/11/2004,"74363,16923"
65,Y,33.0,34,9,M,BCR,PVE,F,"614,856",01/10/2012,01/01/2011,10/09/2007,"34679,577"
70,Y,36.0,37,12,M,BCR,PVE,F,"789,7998462",01/06/2004,01/11/2004,18/11/2004,"12917,19269"
78,Y,36.0,36,15,M,BCR,PVE,M,"753,1601538",01/08/2013,01/11/2005,11/01/2002,"30996,63531"
81,Y,39.0,40,12,S,BCR,PVE,M,"1953,8",01/10/1982,15/08/2008,23/02/2005,"44597,80338"
86,Y,45.0,47,12,M,HGH,PVE,M,"300,4061538",17/11/1970,20/01/2012,27/08/2004,"12803,372"
89,Y,41.0,42,3,M,HGH,PVE,M,"253,8461538",01/05/2007,01/06/2006,21/05/2014,"73125,13531"
91,Y,31.0,33,10,S,BCR,PVE,F,"825,5689231",22/09/2014,11/06/2007,12/06/2007,"18229,49185"
95,Y,46.0,47,12,M,BCR,STE,F,"1337,515385",29/09/2014,01/01/2010,07/02/2005,"52200,47992"
100,Y,36.0,39,13,S,HGH,SFE,M,"461,5384615",01/10/2001,04/07/2004,11/11/2003,"34586,96862"
101,Y,33.0,35,4,M,BCR,STE,M,"557,4923077",01/01/2014,01/01/2015,26/06/2013,"30273,03015"
107,Y,35.0,37,14,M,HGH,SFE,M,"917,9615385",25/07/2009,01/08/2012,25/03/2003,"16625,39208"
112,Y,53.0,55,3,W,BCR,PVE,F,"1206,007692",10/02/1992,02/11/2009,26/11/2013,"54246,125"
113,Y,29.0,31,9,M,HGH,PVE,M,"332,1391538",02/08/2014,18/04/2012,22/04/2008,"20775,743"
114,Y,59.0,61,15,M,BCR,PVE,M,"1116,528154",15/09/2012,01/07/2012,04/02/2002,"19312,91954"
117,Y,46.0,48,6,D,BCR,STE,M,"660,8538462",30/03/1969,01/01/1991,21/01/2011,"9480,442308"
118,Y,58.0,61,12,M,HGH,STE,F,"309,8846154",01/05/1992,07/08/1978,29/10/2004,"10386,03354"
125,Y,56.0,58,15,M,HGH,PVE,M,"7180,962385",01/11/2012,01/11/2011,02/04/2002,"20530,18638"
128,Y,36.0,38,4,S,BCR,STE,F,"314,9866923",11/11/2014,30/03/2013,16/08/2012,"25833,65585"
131,Y,28.0,30,3,S,MAS,PVE,M,"366,5384615",01/09/2009,28/09/2013,23/10/2013,"19714,48446"
132,Y,28.0,31,11,M,HGH,PVE,M,"596,9846154",13/11/1986,22/01/2007,07/02/2006,"37383,845"
133,Y,39.0,42,9,M,BCR,PVE,M,"1872,1",01/11/2008,01/11/2012,07/11/2007,"73893,34408"
